Untitled,Untitled 1,Untitled 2
0,-0.089466,-0.006511
-0.3,-0.082457,-0.00395
-0.6,-0.075218,-0.004134
-0.9,-0.070541,-0.004118
-1.2,-0.066313,-0.004642
-1.5,-0.063203,-0.005087
-1.8,-0.059109,-0.005484
-2.1,-0.057483,-0.005518
-2.4,-0.054228,-0.00678
-2.7,-0.052143,-0.007535
-3,-0.049336,-0.0040575
-3.3,-0.04653,-0.01167
-3.6,-0.043721,-0.015698
-3.9,-0.040125,-0.00021975
