Untitled,Untitled 1,Untitled 2
0,-0.178547,-0.000909
-0.3,-0.163339,0.000635
-0.6,-0.150816,0.001291
-0.9,-0.140576,0.000856
-1.2,-0.131659,0.000111
-1.5,-0.124333,-0.000377
-1.8,-0.117396,-0.000582
-2.1,-0.112908,-0.002222
-2.4,-0.107648,-0.003701
-2.7,-0.103661,-0.004704
-3,-0.099191,-0.005285
-3.3,-0.094046,-0.009314
-3.6,-0.090129,-0.014161
-3.9,-0.084419,-0.019755
