Untitled,Untitled 1,Untitled 2
0,-0.005695,0.000758
-0.3,-0.005775,0.000546
-0.6,-0.00584,0.000572
-0.9,-0.005655,0.000568
-1.2,-0.005811,0.000577
-1.5,-0.005925,0.000574
-1.8,-0.005874,0.000469
-2.1,-0.005923,0.000544
-2.4,-0.005944,0.000662
-2.7,-0.005981,0.000673
-3,-0.005838,0.00064
-3.3,-0.005933,0.000621
-3.6,-0.005926,0.000601
-3.9,-0.006008,0.000676
