i,T
0.08,0
0.3,22
0.62,52
0.85,68
0.96,75
1.1,80
1.3,95
1.5,105
1.8,130
2.1,135
2.5,155
2.8,172
3,180
3.2,190
3.6,200
3.8,210
4.2,230
4.6,240
5,270
5.2,275
5.8,290
6.3,300
6.8,320
7.4,330
8,360
8.5,370
9,385
9.6,390
10,400
10.5,410
11,415
11.5,420
12,425
