Untitled,Untitled 1,Untitled 2
0,-5.190899,-1.900921
-0.3,-3.556278,0.207535
-0.6,-2.890763,0.168715
-0.9,-2.498876,0.158047
-1.2,-2.233106,0.13176
-1.5,-2.036845,0.121627
-1.8,-1.884321,0.110768
-2.1,-1.761558,0.107606
-2.4,-1.659729,0.100065
-2.7,-1.573531,0.095395
-3,-1.499445,0.090783
-3.3,-1.43501,0.085593
-3.6,-1.377587,0.083689
-3.9,-1.326911,0.080502
