Untitled,Untitled 1,Untitled 2
0,0.000005,0.000194
-0.3,-0.000015,0.000082
-0.6,-0.000017,0.0001
-0.9,-0.000005,0.00011
-1.2,0.000019,0.000096
-1.5,-0.000004,0.000109
-1.8,0.000005,0.000105
-2.1,0.000001,0.000083
-2.4,0.000001,0.000088
-2.7,-0.000019,0.000086
-3,0.000007,0.000102
-3.3,-0.00001,0.000102
-3.6,-0.000004,0.000102
-3.9,-0.000003,0.000096
