Untitled,Untitled 1,Untitled 2
0,-0.001986,0.000194
-0.3,-0.002001,0.000028
-0.6,-0.001948,0.000068
-0.9,-0.001937,0.000028
-1.2,-0.001939,0.000123
-1.5,-0.001884,0.000138
-1.8,-0.001855,0.000138
-2.1,-0.001955,0.000097
-2.4,-0.00194,0.000172
-2.7,-0.001904,0.000068
-3,-0.001923,0.000278
-3.3,-0.001972,0.000074
-3.6,-0.001936,0.000212
-3.9,-0.002083,0.000151
